Video ID,Title,Description,Published At
vI6bQJ463Sc,How I got a RAISE as a Developer Advocate,"Find francesco: https://francescociulla.com In this video, I talk about my experience as a DevRel for @dailydotdev in 2022, which ...",2023-01-17T14:49:21Z
N0XOyo6TEHo,How to learn Web3 in 2023 - Full Web3 Development Roadmap,Find Francesco: https://francescociulla.com GitHub Repository: https://github.com/FrancescoXX/free-Web3-resources What is ...,2023-01-10T14:00:29Z
NbnpJH4zpMI,Alchemy University Bootcamp,Find Francesco: https://francescociulla.com ❤️Become a Member: ...,2023-01-08T18:39:26Z
0VxGNzt8U2U,Alchemy University - JavaScript and Ethereum Bootcamp,Find Francesco: https://francescociulla.com ❤️Become a Member: ...,2022-12-11T18:41:30Z
JO3HxAgntWw,Alchemy University. Let&#39;s Test it! - with Vitto,Find Francesco: https://francescociulla.com Earn your web3 degree at Alchemy University: @AlchemyPlatform ...,2022-11-25T17:43:33Z
1lcLLHzQDCg,"How to build your first Dapp, using HTML, CSS, JavaScript, Metamask, Remix, Solidity and Ethers.js","Full video here: https://youtu.be/N4BBL1JfRSg How to build your first Dapp, using HTML, CSS, JavaScript, Metamask, Remix, ...",2022-08-31T15:06:23Z
wUDrsXUVStE,From coding in a dark room to jumping on the stage. Literally. #shorts,Find Francesco: htps://francescociulla.com.,2022-08-16T09:19:04Z
eQGm_9fJz8o,Introverted Developer on Social Media,"INTROVERSION IS NOT A DISEASE, Are you an introverted developer, and do you want to improve your social media presence?",2022-08-09T12:27:09Z
zGP_nYmZd9c,Dockerize a Python Application,Find Francesco ➡️http://francescociulla.com First Part of the video: https://youtu.be/S--SD4QbGps Dockerize a Python ...,2022-05-14T14:30:47Z
MC5HC6GOr-w,Solidity Hello World in 109 seconds,"Find Francesco ➡️ http://francescociulla.com Hi, I am Francesco, and In this short video, I will show you a quick step-by-step ...",2022-05-01T10:01:28Z
DBh7H2hI_PY,Solidity Language with Cryptozombies - Lesson 1,Find Francesco ➡️ http://francescociulla.com Original Stream on Twitch: https://www.twitch.tv/francesco_ciulla Francesco Ciulla ...,2021-12-26T13:10:13Z
4sNAK5OGYNc,How to install Portainer with Docker,How to install Portainer with Docker Portainer website - https://portainer.io Portainer Linkedin page: ...,2021-09-14T12:56:18Z
519nUxZx51w,This Happened for real after 3 years...,"After 3 years, I quit my Job. Let's celebrate together. All the links: https://francescociulla.com.",2021-03-13T04:33:58Z
w_6pbx-RZLA,Docker Introduction - Meetup - Google Developer Group Memphis - Francesco Ciulla,Find Francesco➡️ http://francescociulla.com Francesco Ciulla ❤️SUPPORT ○ https://github.com/sponsors/FrancescoXX ...,2020-10-18T08:03:12Z
ILAdW6kBpSc,Docker image load command - docker short tutorial,"Find Francesco ➡️ http://francescociulla.com The docker image load command is used to load an image, or more images, from ...",2020-10-02T14:43:52Z
lxy6GmFLFWk,Docker Image Save (docker save) - docker short tutorial,Find Francesco ➡️ http://francescociulla.com The docker image save command is used to Save one or more images to standard ...,2020-09-29T10:58:55Z
a3hQs2uMevU,Docker Tutorial - Postgres,Find Francesco ➡️ http://francescociulla.com Francesco Ciulla Support ❤️ https://github.com/sponsors/FrancescoXX ...,2020-09-25T09:55:36Z
bi3D7F8owJI,Docker Tutorial - Hello World with Nginx and some basic commands,Find Francesco ➡️ http://francescociulla.com Docker Tutorial. Hello World with Nginx and basic commands Francesco Ciulla ...,2020-09-20T14:14:31Z
5jMnWIE6DzU,Install Docker Desktop - Windows 10,Find Francesco ➡️ http://francescociulla.com ❤️SUPPORT ○ https://github.com/sponsors/FrancescoXX DISCORD SERVER ...,2020-09-09T11:14:03Z
eN_O4zd4D9o,Docker Introduction | What is Docker,Find Francesco ➡️ http://francescociulla.com Docker Introduction ❤️SUPPORT ○ https://github.com/sponsors/FrancescoXX ...,2020-09-04T14:51:28Z
Cs4pm0iMAfc,"Trevi Fountain, Triton Fountain, Villa Borghese, Final Day - 6Km",SUPPORT ○ https://github.com/sponsors/FrancescoXX DISCORD SERVER ○ https://discord.com/invite/cRjhjFRRre ...,2020-08-28T17:16:30Z
EC2xHYbLMtY,"Villa Gordiani - Rome, Day 10 - 7km",SUPPORT ○ https://github.com/sponsors/FrancescoXX DISCORD SERVER ○ https://discord.com/invite/cRjhjFRRre ...,2020-08-25T05:56:52Z
ovyxymmHCa8,"Caffarelli, Campidoglio, Colosseum, Tiber Island, Marcus Aurelius&#39; statue, Imperial Fora -Day 8 -7km",SUPPORT ○ https://github.com/sponsors/FrancescoXX DISCORD SERVER ○ https://discord.com/invite/cRjhjFRRre ...,2020-08-21T05:55:46Z
X1Vg0hfKFeg,"Villa Ada, Milvan Bridge, Olympic stadium (Ponte milvio, Stadio Olimpico) - Day 7 - Roma",SUPPORT ○ https://github.com/sponsors/FrancescoXX DISCORD SERVER ○ https://discord.com/invite/cRjhjFRRre ...,2020-08-18T11:55:28Z
75DAG1y2HE4,"Day 6 - Piazza Navona, Pantheon, Trevi&#39;s Fountain, Janiculum, Saint Peter&#39;s Square, Tiber - 10km",SUPPORT ○ https://github.com/sponsors/FrancescoXX DISCORD SERVER ○ https://discord.com/invite/cRjhjFRRre ...,2020-08-17T08:35:47Z
qDWcWKHLWPY,Monte Mario - Bicycle Lane - Park Monte Ciocci - Day 5 - 11Km,SUPPORT ○ https://github.com/sponsors/FrancescoXX DISCORD SERVER ○ https://discord.com/invite/cRjhjFRRre ...,2020-08-15T05:49:35Z
4c5SsQKRh44,"Piazza del Popolo, Pincio Terrace, Villa Borghese, Barcaccia, Tiber Waterfront, Rome - Day 4 - 9 km",SUPPORT ○ https://github.com/sponsors/FrancescoXX DISCORD SERVER ○ https://discord.com/invite/cRjhjFRRre ...,2020-08-13T05:49:48Z
RFm3qjJSZRQ,"Saint Peter, Castle of the Holy Angel, Altair of the Fatherland, Colosseum, Rome | Day 3 - 11 km",Find Francesco: http://francescociulla.com ❤️SUPPORT ○ https://github.com/sponsors/FrancescoXX DISCORD SERVER ...,2020-08-10T11:48:58Z
4hiwZfxPb_c,"Villa Doria Pamphili, Rome | Running for Charity - Day 2 - 11Km",Find Francesco: http://francescociulla.com Francesco Ciulla ❤️SUPPORT ○ https://github.com/sponsors/FrancescoXX ...,2020-08-09T08:22:31Z
SaJSNHXBLkc,"Ottavia, Rome, 100km Challenge | Day 1",Find Francesco: http://francescociulla.com ❤️SUPPORT ○ https://github.com/sponsors/FrancescoXX DISCORD SERVER ...,2020-08-07T16:02:24Z
